,com,TH,TH_2
0,0.0,0.6481957656011541,0.31468259768511503
1,1.0,0.685707972155798,1.081374931799332
2,2.0,0.632360343138968,1.021607592966163
3,3.0,0.5971715569843651,1.222135731190758
4,4.0,0.547634449617558,1.0660944056714161
5,5.0,0.545385966896008,0.460504848199883
6,6.0,0.37827079345400905,0.7151651403318801
7,7.0,0.318058781393656,0.545643651752732
8,8.0,0.593761097005582,0.425298078961369
9,9.0,0.07686631551996101,0.12353299356203301
10,10.0,0.597663485510191,1.25
11,11.0,0.7065336078372121,0.9924724117398911
12,12.0,0.252169593878038,0.75
13,13.0,0.39703751319385505,1.25
14,14.0,0.7813106097995991,1.25
